Symbol,Strategy_Return_%,Buy_Hold_Return_%,Alpha_%,Best_Target_%,Annual_Strategy_%,Annual_Buy_Hold_%,Annual_Alpha_%
SQQQ,18.633338583201663,-17.70997207504621,36.34331065824787,5.0,79.58646310113254,-75.6425925917228,155.22905569285533
UVXY,20.59671381756184,-14.857655116483004,35.454368934044844,10.0,87.97240478009465,-63.459815073791816,151.43221985388647
VXX,16.294412415911783,-7.4480313562834795,23.742443772195262,5.0,69.5964733696571,-31.81193053870232,101.40840390835943
VIXY,16.13409829801569,-7.594184323551523,23.728282621567214,5.0,68.91174188305007,-32.436177110762436,101.34791899381251
SPXS,0.981738461163535,-12.009576410450507,12.991314871614042,5.0,4.193188003613743,-51.29513992260217,55.48832792621591
NVDA,15.750174545498878,5.370197535436061,10.379977010062817,5.0,67.27193195704605,22.937114897116736,44.33481705992932
XLF,1.114268721719625,-0.517231903089943,1.631500624809568,1.0,4.7592494554804325,-2.2091938911638245,6.968443346644257
XLI,2.2763215821062213,1.2084309324544407,1.0678906496517806,1.0,9.722593876114708,5.161433813195238,4.56116006291947
TLT,0.9525661104449152,0.19139701132364628,0.761169099121269,1.0,4.068587454781672,0.8174923195518452,3.2510951352298267
SPY,1.8497262458376684,4.89382759364505,-3.044101347807382,1.0,7.900525660188007,20.902450060992418,-13.00192440080441
XLE,1.1318786725572108,5.160173520728417,-4.028294848171207,1.0,4.834464838718934,22.040063173280696,-17.205598334561767
TQQQ,10.923668662022983,15.244794115659088,-4.321125453636105,5.0,46.65702547169139,65.11335791773034,-18.456332446038957
SPXL,6.079705072208195,11.545328586129578,-5.465623513921384,5.0,25.967553867736697,49.31225091024837,-23.344697042511672
TSLA,13.845686324089604,23.970375863944216,-10.124689539854613,5.0,59.13750768933187,102.38194436803293,-43.24443667870106
AMD,27.67364274678681,41.03451686379118,-13.360874117004371,1.0,118.19928766424198,175.26607202839625,-57.066784364154266
GLD,-1.1866636536973707,16.670658818297547,-17.857322471994916,1.0,-5.068461707317583,71.20349190188105,-76.27195360919863
SLV,-5.538542715224328,41.258741330490054,-46.797284045714385,2.0,-23.65614854638188,176.22377653022872,-199.8799250766106
