Symbol,Type,Expectation,Excess_Return_Pct,Strategy_Sharpe,Win_Rate_Pct,Prediction_Correct
SH,inverse,winner,31.75823720141127,-0.6045240561102475,50.476190476190474,True
LQD,bonds,winner,20.32380295990012,0.3861425630167269,61.76470588235294,True
FXY,currency,winner,6.01930451194006,-0.3647292744201111,52.80898876404494,True
FXE,currency,winner,-5.421012158498373,-0.25658360282464154,56.32183908045977,False
IEF,bonds,winner,-6.363403459875229,0.20347025889294654,62.857142857142854,False
DJP,commodity,winner,-10.640804227065392,-0.29912513667241425,66.01941747572816,False
UUP,currency,winner,-24.681160142542005,-0.28299400665734675,64.44444444444444,False
SVXY,volatility,winner,-66.87158944931531,0.32669157076408356,75.67567567567568,False
XLF,sector,moderate,-109.13611041833454,0.20188801660621541,74.12587412587412,False
ARKK,equity,loser,-328.07453775217647,-0.11654918552152375,69.81132075471697,True
XLU,sector,winner,-590.4554351964197,0.08276560879011288,81.18081180811808,False
